sptype    teff      logg
O3V       44852     +4.50
O4V       42857     +4.50
O5V       40862     +4.50
O5.5V     39865     +4.50
O6V       38867     +4.00
O6.5V     37870     +4.00
O7V       36872     +4.00
O7.5V     35874     +4.00
O8V       34877     +4.00
O8.5      33879     +4.00
O9V       32882     +4.00
O9.5      31884     +4.00
B0V       30000     +3.90
B1V       25400     +3.90
B3V       18700     +3.94
B5V       15400     +4.04
B8V       11900     +4.04
A0V        9520     +4.14
A1V        9230     +4.10
A3V        8270     +4.20
A5V        8200     +4.29
F0V        7200     +4.34
F2V        6890     +4.34
F5V        6440     +4.34
F8V        6200     +4.40
G0V        6030     +4.39
G2V        5860     +4.40
G5V        5770     +4.49
G8V        5570     +4.50
K0V        5250     +4.49
K2V        4780     +4.50
K4V        4560     +4.50
K5V        4350     +4.54
K7V        4060     +4.50
M0V        3850     +4.59
M2V        3580     +4.64
B0III     29000     +3.50
B5III     15000     +3.49
G0III      5850     +2.94
G5III      5150     +2.54
K0III      4750     +2.14
K5III      3950     +1.74
M0III      3800     +1.34
O5I       40000     +4.50
O6I       39000     +4.00
O8I       34000     +4.00
BOI       26000     +3.00
B5I       14000     +2.50
AOI        9730     +2.14
A5I        8510     +2.04
F0I        7700     +1.74
F5I        6900     +1.44
G0I        5550     +1.34
G5I        4850     +1.14
K0I        4420     +0.94
K5I        3850     +0.34
M0I        3650     +0.14
