OBJECT ID	RA	Dec
------------------------------------------------------------------------------------------------------------------------------	-------------	------------
MSA Source104: 277.4603, 1.227300; Mags: [35.85 Column 20, 16.69 Column 21, 14.12 Column 22, 12.59 Column 23, 10.82 Column 24]	18 29 50.4744	+01 13 38.28
MSA Source105: 277.4859, 1.267560; Mags: [42.01 Column 20, 22.35 Column 21, 19.91 Column 22, 18.29 Column 23, 16.25 Column 24]	18 29 56.6040	+01 16 3.22
MSA Source111: 277.4845, 1.269830; Mags: [41.43 Column 20, 21.91 Column 21, 19.42 Column 22, 17.91 Column 23, 15.88 Column 24]	18 29 56.2896	+01 16 11.39
MSA Source112: 277.4991, 1.249510; Mags: [40.19 Column 20, 20.5 Column 21, 17.9 Column 22, 16.38 Column 23, 14.43 Column 24]	18 29 59.7912	+01 14 58.24
MSA Source114: 277.4780, 1.272260; Mags: [41.69 Column 20, 22.27 Column 21, 19.89 Column 22, 18.31 Column 23, 16.27 Column 24]	18 29 54.7248	+01 16 20.14
MSA Source115: 277.4881, 1.268440; Mags: [40.72 Column 20, 20.93 Column 21, 18.41 Column 22, 16.88 Column 23, 14.87 Column 24]	18 29 57.1464	+01 16 6.38
MSA Source116: 277.4549, 1.229180; Mags: [39.41 Column 20, 22.05 Column 21, 19.84 Column 22, 18.58 Column 23, 16.9 Column 24]	18 29 49.1664	+01 13 45.05
MSA Source119: 277.4528, 1.262950; Mags: [84.23 Column 20, 39.07 Column 21, 31.68 Column 22, 26.11 Column 23, 21.4 Column 24]	18 29 48.6648	+01 15 46.62
MSA Source121: 277.4953, 1.262760; Mags: [41.7 Column 20, 22.53 Column 21, 20.18 Column 22, 18.68 Column 23, 16.71 Column 24]	18 29 58.8744	+01 15 45.94
MSA Source12: 277.4735, 1.239320; Mags: [39.85 Column 20, 22.01 Column 21, 19.79 Column 22, 18.69 Column 23, 16.84 Column 24]	18 29 53.6400	+01 14 21.55
MSA Source130: 277.4673, 1.273470; Mags: [74.13 Column 20, 34.69 Column 21, 28.35 Column 22, 23.91 Column 23, 19.84 Column 24]	18 29 52.1448	+01 16 24.49
MSA Source13: 277.4664, 1.245740; Mags: [54.48 Column 20, 26.72 Column 21, 22.63 Column 22, 19.87 Column 23, 17.03 Column 24]	18 29 51.9264	+01 14 44.66
MSA Source142: 277.5023, 1.252570; Mags: [41.59 Column 20, 22.37 Column 21, 19.89 Column 22, 18.48 Column 23, 16.55 Column 24]	18 30 0.5400	+01 15 9.25
MSA Source147: 277.5004, 1.260110; Mags: [40.35 Column 20, 20.78 Column 21, 18.27 Column 22, 16.7 Column 23, 14.71 Column 24]	18 30 0.1008	+01 15 36.40
MSA Source150: 277.5029, 1.254560; Mags: [39.14 Column 20, 20.71 Column 21, 18.48 Column 22, 17.1 Column 23, 15.19 Column 24]	18 30 0.6888	+01 15 16.42
MSA Source153: 277.4956, 1.267690; Mags: [41.08 Column 20, 22.16 Column 21, 19.7 Column 22, 18.62 Column 23, 16.66 Column 24]	18 29 58.9416	+01 16 3.68
MSA Source156: 277.4975, 1.265780; Mags: [38.98 Column 20, 20.44 Column 21, 18.25 Column 22, 16.78 Column 23, 14.83 Column 24]	18 29 59.3976	+01 15 56.81
MSA Source158: 277.4684, 1.276780; Mags: [71.28 Column 20, 32.91 Column 21, 26.82 Column 22, 22.39 Column 23, 18.41 Column 24]	18 29 52.4136	+01 16 36.41
MSA Source161: 277.4431, 1.244740; Mags: [38.04 Column 20, 21.36 Column 21, 19.34 Column 22, 18.04 Column 23, 16.44 Column 24]	18 29 46.3368	+01 14 41.06
MSA Source173: 277.4844, 1.277100; Mags: [40.2 Column 20, 21.85 Column 21, 19.73 Column 22, 18.32 Column 23, 16.29 Column 24]	18 29 56.2560	+01 16 37.56
MSA Source174: 277.4448, 1.260630; Mags: [39.73 Column 20, 22.21 Column 21, 19.85 Column 22, 19.03 Column 23, 17.29 Column 24]	18 29 46.7472	+01 15 38.27
MSA Source176: 277.4954, 1.270920; Mags: [41.61 Column 20, 21.71 Column 21, 19.09 Column 22, 17.6 Column 23, 15.59 Column 24]	18 29 58.8936	+01 16 15.31
MSA Source17: 277.4659, 1.244090; Mags: [41.57 Column 20, 22.1 Column 21, 19.84 Column 22, 17.74 Column 23, 15.84 Column 24]	18 29 51.8184	+01 14 38.72
MSA Source180: 277.4826, 1.278090; Mags: [41.52 Column 20, 21.25 Column 21, 18.57 Column 22, 16.98 Column 23, 14.93 Column 24]	18 29 55.8336	+01 16 41.12
MSA Source185: 277.4412, 1.252740; Mags: [38.3 Column 20, 19.94 Column 21, 18.16 Column 22, 16.0 Column 23, 14.25 Column 24]	18 29 45.8832	+01 15 9.86
MSA Source186: 277.5050, 1.258370; Mags: [40.33 Column 20, 20.99 Column 21, 18.48 Column 22, 16.98 Column 23, 15.06 Column 24]	18 30 1.2072	+01 15 30.13
MSA Source187: 277.4451, 1.263470; Mags: [41.82 Column 20, 22.2 Column 21, 20.12 Column 22, 18.3 Column 23, 16.41 Column 24]	18 29 46.8192	+01 15 48.49
MSA Source18: 277.4667, 1.242310; Mags: [38.46 Column 20, 20.62 Column 21, 18.49 Column 22, 17.15 Column 23, 15.33 Column 24]	18 29 51.9960	+01 14 32.32
MSA Source199: 277.4414, 1.257620; Mags: [36.62 Column 20, 20.63 Column 21, 18.87 Column 22, 17.6 Column 23, 15.93 Column 24]	18 29 45.9384	+01 15 27.43
MSA Source19: 277.4651, 1.245970; Mags: [63.94 Column 20, 30.22 Column 21, 24.96 Column 22, 21.21 Column 23, 17.79 Column 24]	18 29 51.6288	+01 14 45.49
MSA Source214: 277.4391, 1.254090; Mags: [36.02 Column 20, 20.68 Column 21, 18.83 Column 22, 17.91 Column 23, 16.32 Column 24]	18 29 45.3792	+01 15 14.72
MSA Source217: 277.4429, 1.264690; Mags: [38.87 Column 20, 21.28 Column 21, 19.1 Column 22, 17.81 Column 23, 16.05 Column 24]	18 29 46.3008	+01 15 52.88
MSA Source218: 277.4472, 1.270710; Mags: [67.78 Column 20, 32.24 Column 21, 26.67 Column 22, 22.59 Column 23, 18.95 Column 24]	18 29 47.3304	+01 16 14.56
MSA Source223: 277.4411, 1.262500; Mags: [39.09 Column 20, 21.25 Column 21, 18.95 Column 22, 17.68 Column 23, 15.95 Column 24]	18 29 45.8736	+01 15 45.00
MSA Source225: 277.4626, 1.281510; Mags: [86.78 Column 20, 40.12 Column 21, 30.57 Column 22, 26.72 Column 23, 22.06 Column 24]	18 29 51.0312	+01 16 53.44
MSA Source232: 277.4803, 1.283230; Mags: [42.97 Column 20, 22.17 Column 21, 19.82 Column 22, 18.1 Column 23, 16.04 Column 24]	18 29 55.2720	+01 16 59.63
MSA Source236: 277.4429, 1.267480; Mags: [43.32 Column 20, 22.8 Column 21, 20.12 Column 22, 18.33 Column 23, 16.24 Column 24]	18 29 46.2936	+01 16 2.93
MSA Source237: 277.4372, 1.254400; Mags: [36.46 Column 20, 20.4 Column 21, 18.59 Column 22, 17.37 Column 23, 15.79 Column 24]	18 29 44.9160	+01 15 15.84
MSA Source246: 277.4745, 1.284970; Mags: [36.75 Column 20, 18.96 Column 21, 18.68 Column 22, 17.28 Column 23, 15.52 Column 24]	18 29 53.8752	+01 17 5.89
MSA Source248: 277.4367, 1.256040; Mags: [35.49 Column 20, 20.63 Column 21, 19.06 Column 22, 17.91 Column 23, 16.38 Column 24]	18 29 44.8080	+01 15 21.74
