OBJECT ID	RA	Dec
-------------------------------------------------------------------------------------------------------------------------------	-------------	------------
MSA Source103: 277.4961, 1.239110; Mags: [79.14 Column 20, 36.06 Column 21, 29.31 Column 22, 24.3 Column 23, 19.95 Column 24]	18 29 59.0688	+01 14 20.80
MSA Source106: 277.4658, 1.224280; Mags: [39.33 Column 20, 21.78 Column 21, 19.54 Column 22, 18.3 Column 23, 16.63 Column 24]	18 29 51.7896	+01 13 27.41
MSA Source109: 277.4951, 1.260240; Mags: [40.65 Column 20, 21.87 Column 21, 19.65 Column 22, 17.98 Column 23, 16.01 Column 24]	18 29 58.8312	+01 15 36.86
MSA Source112: 277.4991, 1.249510; Mags: [40.19 Column 20, 20.5 Column 21, 17.9 Column 22, 16.38 Column 23, 14.43 Column 24]	18 29 59.7912	+01 14 58.24
MSA Source124: 277.4993, 1.255840; Mags: [39.31 Column 20, 19.11 Column 21, 16.42 Column 22, 14.83 Column 23, 12.85 Column 24]	18 29 59.8248	+01 15 21.02
MSA Source12: 277.4735, 1.239320; Mags: [39.85 Column 20, 22.01 Column 21, 19.79 Column 22, 18.69 Column 23, 16.84 Column 24]	18 29 53.6400	+01 14 21.55
MSA Source131: 277.5006, 1.240670; Mags: [62.94 Column 20, 30.23 Column 21, 25.27 Column 22, 21.74 Column 23, 18.35 Column 24]	18 30 0.1536	+01 14 26.41
MSA Source135: 277.5018, 1.246490; Mags: [40.93 Column 20, 22.09 Column 21, 19.77 Column 22, 18.27 Column 23, 16.35 Column 24]	18 30 0.4320	+01 14 47.36
MSA Source142: 277.5023, 1.252570; Mags: [41.59 Column 20, 22.37 Column 21, 19.89 Column 22, 18.48 Column 23, 16.55 Column 24]	18 30 0.5400	+01 15 9.25
MSA Source146: 277.5033, 1.250020; Mags: [40.18 Column 20, 22.17 Column 21, 19.99 Column 22, 18.82 Column 23, 16.93 Column 24]	18 30 0.7968	+01 15 0.07
MSA Source147: 277.5004, 1.260110; Mags: [40.35 Column 20, 20.78 Column 21, 18.27 Column 22, 16.7 Column 23, 14.71 Column 24]	18 30 0.1008	+01 15 36.40
MSA Source149: 277.5036, 1.243090; Mags: [50.17 Column 20, 25.77 Column 21, 22.46 Column 22, 19.98 Column 23, 17.45 Column 24]	18 30 0.8520	+01 14 35.12
MSA Source150: 277.5029, 1.254560; Mags: [39.14 Column 20, 20.71 Column 21, 18.48 Column 22, 17.1 Column 23, 15.19 Column 24]	18 30 0.6888	+01 15 16.42
MSA Source154: 277.5023, 1.236840; Mags: [73.63 Column 20, 34.39 Column 21, 28.14 Column 22, 23.57 Column 23, 19.52 Column 24]	18 30 0.5616	+01 14 12.62
MSA Source155: 277.5004, 1.232390; Mags: [110.01 Column 20, 47.93 Column 21, 36.95 Column 22, 29.23 Column 23, 22.98 Column 24]	18 30 0.0864	+01 13 56.60
MSA Source181: 277.5010, 1.228700; Mags: [84.16 Column 20, 38.32 Column 21, 30.72 Column 22, 25.11 Column 23, 20.45 Column 24]	18 30 0.2424	+01 13 43.32
MSA Source189: 277.4905, 1.217920; Mags: [102.99 Column 20, 45.02 Column 21, 35.01 Column 22, 27.44 Column 23, 21.55 Column 24]	18 29 57.7152	+01 13 4.51
MSA Source192: 277.4929, 1.219300; Mags: [89.17 Column 20, 39.14 Column 21, 30.53 Column 22, 24.27 Column 23, 19.27 Column 24]	18 29 58.3056	+01 13 9.48
MSA Source200: 277.4891, 1.216270; Mags: [108.01 Column 20, 46.97 Column 21, 36.81 Column 22, 28.62 Column 23, 22.56 Column 24]	18 29 57.3768	+01 12 58.57
MSA Source203: 277.5084, 1.248220; Mags: [37.86 Column 20, 19.03 Column 21, 16.67 Column 22, 15.19 Column 23, 13.28 Column 24]	18 30 2.0088	+01 14 53.59
MSA Source215: 277.4865, 1.213610; Mags: [83.19 Column 20, 37.5 Column 21, 29.65 Column 22, 24.09 Column 23, 19.55 Column 24]	18 29 56.7576	+01 12 49.00
MSA Source229: 277.5078, 1.232640; Mags: [50.98 Column 20, 25.86 Column 21, 22.27 Column 22, 19.91 Column 23, 17.3 Column 24]	18 30 1.8792	+01 13 57.50
MSA Source239: 277.5115, 1.249610; Mags: [41.3 Column 20, 21.72 Column 21, 19.11 Column 22, 17.67 Column 23, 15.77 Column 24]	18 30 2.7648	+01 14 58.60
MSA Source24: 277.4807, 1.255280; Mags: [43.51 Column 20, 22.31 Column 21, 20.14 Column 22, 18.03 Column 23, 15.9 Column 24]	18 29 55.3776	+01 15 19.01
MSA Source264: 277.4899, 1.210940; Mags: [65.38 Column 20, 30.88 Column 21, 25.22 Column 22, 21.43 Column 23, 18.06 Column 24]	18 29 57.5664	+01 12 39.38
MSA Source266: 277.5077, 1.226090; Mags: [52.22 Column 20, 25.79 Column 21, 21.86 Column 22, 19.2 Column 23, 16.56 Column 24]	18 30 1.8456	+01 13 33.92
MSA Source269: 277.5038, 1.220540; Mags: [68.35 Column 20, 32.19 Column 21, 26.36 Column 22, 22.2 Column 23, 18.59 Column 24]	18 30 0.9168	+01 13 13.94
MSA Source271: 277.4861, 1.208900; Mags: [56.19 Column 20, 27.43 Column 21, 22.99 Column 22, 19.32 Column 23, 16.6 Column 24]	18 29 56.6592	+01 12 32.04
MSA Source275: 277.4707, 1.206790; Mags: [31.99 Column 20, 16.57 Column 21, 14.58 Column 22, 13.46 Column 23, 12.1 Column 24]	18 29 52.9728	+01 12 24.44
MSA Source299: 277.5136, 1.233200; Mags: [41.34 Column 20, 22.29 Column 21, 19.7 Column 22, 18.24 Column 23, 16.42 Column 24]	18 30 3.2712	+01 13 59.52
MSA Source312: 277.5056, 1.217350; Mags: [72.16 Column 20, 33.73 Column 21, 27.62 Column 22, 22.77 Column 23, 18.92 Column 24]	18 30 1.3440	+01 13 2.46
MSA Source329: 277.4790, 1.202380; Mags: [34.25 Column 20, 18.98 Column 21, 17.0 Column 22, 15.94 Column 23, 14.61 Column 24]	18 29 54.9624	+01 12 8.57
MSA Source331: 277.5060, 1.215490; Mags: [69.17 Column 20, 32.53 Column 21, 26.73 Column 22, 22.27 Column 23, 18.59 Column 24]	18 30 1.4448	+01 12 55.76
MSA Source347: 277.5147, 1.225710; Mags: [38.9 Column 20, 21.34 Column 21, 19.1 Column 22, 17.74 Column 23, 16.05 Column 24]	18 30 3.5208	+01 13 32.56
MSA Source353: 277.5000, 1.208800; Mags: [56.89 Column 20, 28.63 Column 21, 24.37 Column 22, 21.05 Column 23, 18.27 Column 24]	18 30 0.0072	+01 12 31.68
MSA Source35: 277.4870, 1.242410; Mags: [41.74 Column 20, 21.57 Column 21, 18.95 Column 22, 17.36 Column 23, 15.34 Column 24]	18 29 56.8728	+01 14 32.68
MSA Source369: 277.4889, 1.202020; Mags: [36.06 Column 20, 20.65 Column 21, 18.62 Column 22, 17.66 Column 23, 16.31 Column 24]	18 29 57.3360	+01 12 7.27
MSA Source36: 277.4853, 1.255030; Mags: [40.92 Column 20, 21.86 Column 21, 19.53 Column 22, 18.05 Column 23, 16.06 Column 24]	18 29 56.4696	+01 15 18.11
